          1                   2                   3                   4                   5                   6                   7                   8                   9                   10                  11                  12                  
1         209915866847208     155199511069959     61378706436100      775817644560386     828363839182918     217891994170482     166991998539254     727160233274498     58626516482830      73540487389137      788761069191994     159462342966884     
2         399094512510362     833911036805485     661074327858257     331412083330486     908544495105846     881630113160018     425243347659748     74933503120         820994725941335     505193563238288     908798157228228     871877083034071     
3         887883135521420     194894172356528     18603623328690      603075098361894     705297038671295     942069722001078     326896783729342     169767099030128     179523055531142     274200694421964     421410784713434     803712628733110     
4         256528755375818     829788205316040     291103645461688     184015679834136     243331070131438     948954910916407     567591393977905     463291560340966     34932236836702      567635870389698     70587701325602      734155156203249     
5         966801637565824     338075520954603     973823852777955     87459762765076      589232001609274     106443725719469     826987328923175     361852789419633     771326942534924     27512084349331      907522719209337     492171730030490     
6         619157733821978     671116878414430     764640689629325     308916072648439     938900024510362     57976266992091      391682125737874     952065662486752     540526578812326     613717644702869     612739173769427     401842477704954     
7         165346601185177     52367266696420      243684686525412     230879173361030     895502116948439     163724792199731     621351171044836     932193427003512     331540624320949     423612539711793     750338425463200     862601208693266     
8         826199202627690     734309332076089     682116378933449     909187142761828     606226598952834     527474393267624     965151977045368     958068702730263     578217027995618     645296074017767     580403765038109     180837216944403     
9         655693445515511     499482278338679     137855372370656     936884408970844     792378532438412     69749022514575      828470802946466     206539213869822     854507567311023     306118760512186     994522428608116     925567918873706     
10        546453037606145     943299994160438     629812037213882     31879808865546      836167691079297     10146739946482      813402451496821     159701574351919     642375441706436     290785291106736     165868247578610     822036400473832     
11        251330032099650     289773126595148     857014835645161     593647449613757     560141530398144     91680933361794      955094591388357     571760995269722     420104112303390     430516009965003     708823206888124     686578270942262     
12        40157344398859      376561050432457     899798433472027     43818478035819      696103276974        607435408730018     183120547868730     592919598629109     545913340282776     550274686487357     166703709391634     469161329215117     
13        233376179198294     113756247895563     348369053863462     424903418430500     251275878822915     56086439904320      670428644704375     698611051259938     182298546067149     122461923043467     79331823573252      887939131959188     
